Puesto,Calle,Direecion
15, AV. CONGRESO                 ,3299
384,11 DE SEPTIEMBRE              ,3709
53,11 DE SEPTIEMBRE              ,4608
MAIPU          ,25 DE MAYO                    ,130
GOROSTIAG      ,3 DE FEBRERO                  ,840
321,ACHA                          ,3614
CERETTI17      ,ACHEGA                        ,3176
AGUIRRE55      ,AGUIRRE                       ,1110
203,AMENABAR                      ,3211
CONESA         ,AMENABAR                      ,1461
GUEVARA        ,ANDEN NORTE CARRANZA          ,0
2,ARCE                          ,502
IMPRENTA       ,ARCE                          ,906
ARCE           ,ARCE                          ,906
PATY61         ,AREVALO                       ,2026
ARIAS          ,ARIAS                         ,1851
249,ARRIBE#OS                     ,2193
347,AV CABILDO                    ,698
348,AV CABILDO                    ,792
VIRREY         ,AV CABILDO                    ,1567
POETA25        ,AV CORDOBA                    ,4312
ALVAREZ        ,AV CORRIENTES                 ,4992
CONTRERAS      ,AV LACROZE 4191 EST F.F.G.U.HA,0
PAGANO25       ,AV. CORRIENTES                ,4290
21,AV. CRAMER                    ,2893
NAVAL          ,AV. DIAZ VELEZ                ,5094
ANGELIT27      ,AV. DIAZ VELEZ                ,5094
244,AV. MAIPU                     ,598
34,AV. R BALBIN                  ,3080
43,AV. RICARDO BALBIN            ,2686
39,AV.CABILDO                    ,1580
PACHIN         ,AVDA ALVAREZ JONTE            ,2909
ARTIGAS        ,AVDA ALVAREZ JONTE            ,2512
A THOMAS65     ,AVDA ALVAREZ THOMAS           ,1320
ANTONIO65      ,AVDA ALVAREZ THOMAS           ,1219
RAUL 15        ,AVDA ALVAREZ THOMAS           ,3115
FELIPE 15      ,AVDA ALVAREZ THOMAS           ,2389
CHUBUT         ,AVDA ANGEL GALLARDO           ,613
BOYACA         ,AVDA BOYACA                   ,892
SORDO          ,AVDA BOYACA                   ,1590
89,AVDA CABILDO                  ,808
30,AVDA CABILDO                  ,1388
55,AVDA CABILDO                  ,1212
343,AVDA CABILDO                  ,4394
CAPITAN        ,AVDA CABILDO                  ,3756
60,AVDA CABILDO                  ,2533
HERNANDEZ      ,AVDA CABILDO                  ,1567
114,AVDA CABILDO                  ,2928
349,AVDA CABILDO                  ,1080
237,AVDA CABILDO                  ,4
1,AVDA CABILDO                  ,4107
352,AVDA CABILDO                  ,1757
4,AVDA CABILDO                  ,2294
46,AVDA CABILDO                  ,1906
205,AVDA CABILDO                  ,893
382,AVDA CABILDO                  ,4644
363,AVDA CABILDO                  ,1507
94,AVDA CABILDO                  ,2093
95,AVDA CABILDO                  ,106
313,AVDA CABILDO                  ,2879
HECTOR20       ,AVDA CABILDO                  ,2294
80,AVDA CABILDO                  ,2323
6,AVDA CABILDO                  ,4009
351,AVDA CABILDO                  ,1708
219,AVDA CABILDO                  ,3329
ALFREDO        ,AVDA CABILDO                  ,2447
52,AVDA CABILDO                  ,3111
ECHEV          ,AVDA CABILDO                  ,2011
ZABALA         ,AVDA CABILDO                  ,1388
96,AVDA CABILDO                  ,480
37,AVDA CABILDO                  ,3440
230,AVDA CABILDO                  ,3500
87,AVDA CABILDO                  ,1816
61,AVDA CABILDO                  ,4693
CERUTTI        ,AVDA CABILDO                  ,2544
225,AVDA CABILDO                  ,2865
224,AVDA CABILDO                  ,2190
32,AVDA CABILDO                  ,3111
350,AVDA CABILDO                  ,1652
246,AVDA CABILDO                  ,2118
FRAVEGA20      ,AVDA CABILDO                  ,2202
35,AVDA CABILDO                  ,2185
13,AVDA CABILDO                  ,2135
BLAS 15        ,AVDA CONGRESO                 ,4795
TRIUNVI15      ,AVDA CONGRESO                 ,5207
MELIAN         ,AVDA CONGRESO                 ,3597
35-17          ,AVDA CONGRESO                 ,5709
240,AVDA CONGRESO                 ,2414
TECLA17        ,AVDA CONSTITUYENTES           ,4400
HECTOR17       ,AVDA CONSTITUYENTES           ,6277
MENA17         ,AVDA CONSTITUYENTES           ,6175
WAL-MART/C17   ,AVDA CONSTITUYENTES           ,6020
W-MART C-17    ,AVDA CONSTITUYENTES           ,6020
RAMON25        ,AVDA CORDOBA                  ,4614
PAMI25         ,AVDA CORDOBA                  ,5908
ZURDO65        ,AVDA CORDOBA                  ,6290
PEDRO25        ,AVDA CORDOBA                  ,5194
MERCADO25      ,AVDA CORDOBA                  ,4187
JACINTO54      ,AVDA CORRIENTES               ,4693
DOMINGO55      ,AVDA CORRIENTES               ,5509
ACEVEDO55      ,AVDA CORRIENTES               ,5377
PIVOII 55      ,AVDA CORRIENTES               ,4515
NEGRO 55       ,AVDA CORRIENTES               ,5280
MANOLO55       ,AVDA CORRIENTES               ,5885
#A#A           ,AVDA CORRIENTES               ,4108
FLOGNA25       ,AVDA CORRIENTES               ,4245
GALLEGO55      ,AVDA CORRIENTES               ,5609
LAVALLE55      ,AVDA CORRIENTES               ,486
LORO           ,AVDA CORRIENTES               ,3488
CANARO 55      ,AVDA CORRIENTES               ,5761
WARNES27       ,AVDA CORRIENTES               ,486
CAA25          ,AVDA CORRIENTES               ,4528
JORGE 55       ,AVDA CORRIENTES               ,5239
GANDARA        ,AVDA DE LOS CONSTITUYENTES    ,3842
BRUNO17        ,AVDA DE LOS INCAS             ,4910
108,AVDA DEL LIBERTADOR           ,6820
GUAYRA         ,AVDA DEL LIBERTADOR           ,7112
CARLOS         ,AVDA DEL LIBERTADOR           ,8340
PAYBA          ,AVDA DEL LIBERTADOR           ,7999
VILLAR         ,AVDA DEL LIBERTADOR           ,8616
OMAR27         ,AVDA DIAZ VELEZ               ,5289
PEREZ17        ,AVDA DIAZ VELEZ               ,3812
OTAMENDI       ,AVDA DIAZ VELEZ               ,4826
jul-65,AVDA DORREGO                  ,805
70,AVDA DORREGO  Y L. M.CAMPOS   ,0
FORTUNA25      ,AVDA DORREGO Y CORDOBA        ,0
YOKI 55        ,AVDA DR HONORIO PUEYRREDON    ,1906
